Category,Subcategory,Cash Total,Accrual Total,Cash - Accrual
Advertising,Advertising (general),438.42,438.42,0.00
Car & Truck Expenses,Car & Truck Expenses (general),14.05,14.05,0.00
Car & Truck Expenses,Gas,90.52,90.52,0.00
Car & Truck Expenses,Mileage,50.80,50.80,0.00
Car & Truck Expenses,Transportation,485.23,485.23,0.00
Contractors,Contractors (general),191.00,191.00,0.00
Cost of Goods Sold,Bertrand Byrne Unpaid Salary,63878.30,63878.30,0.00
Cost of Goods Sold,COGS-Payroll Health Benefits,10329.60,10329.60,0.00
Cost of Goods Sold,COGS-Payroll Retirement Benefits,3995.52,3995.52,0.00
Cost of Goods Sold,COGS-Payroll Taxes,7150.83,7150.83,0.00
Cost of Goods Sold,COGS-Payroll Wages,87453.48,111903.50,-24450.02
Employee Benefits,Employee Benefits (general),835.38,835.38,0.00
General Business Admin,General Business Admin (general),5712.00,5712.00,0.00
Gross Margin,,53.75,66.71,-12.96
Gross Profit,,200824.39,395248.49,-194424.10
Meals & Entertainment,Meals & Entertainment (general),4721.71,4721.71,0.00
Meals & Entertainment,Restaurants/Dining,4477.09,4477.09,0.00
Net Profit (USD),,-8948.29,185475.81,-194424.10
Office Expenses & Postage,Computers&Equipment,4362.95,4362.95,0.00
Office Expenses & Postage,Office Expenses & Postage (general),163.29,163.29,0.00
Office Expenses & Postage,Software,1882.43,1882.43,0.00
Office Expenses & Postage,Stationery,2.43,2.43,0.00
Other Expenses,Ailsa Welch 1099,24900.00,24900.00,0.00
Other Expenses,Bank Fees,8478.39,8478.39,0.00
Other Expenses,Bank Transfers,550.01,550.01,0.00
Other Expenses,Business Cost,1590.00,1590.00,0.00
Other Expenses,Business Insurance,4638.47,4638.47,0.00
Other Expenses,Business Taxes,434.14,434.14,0.00
Other Expenses,Interest - Other,1744.51,1744.51,0.00
Other Expenses,Line of Credit Payment,10938.31,10938.31,0.00
Other Expenses,Loan Repayment,6809.89,6809.89,0.00
Other Expenses,Online Services,35324.19,35324.19,0.00
Other Expenses,Other Expenses (general),41266.00,41266.00,0.00
Other Expenses,Petty Cash,257.62,257.62,0.00
Other Expenses,Taxes & Licenses,388.25,388.25,0.00
Other Expenses,owners equity,9100.00,9100.00,0.00
Payroll Expense,Employer Taxes,30.96,30.96,0.00
Personal,Personal (general),58.51,58.51,0.00
Professional Services,Accounting,1623.95,1623.95,0.00
Professional Services,Business Development,397.29,397.29,0.00
Professional Services,Legal Fees,60.00,60.00,0.00
Professional Services,Professional Services (general),155.00,155.00,0.00
Rent or Lease,Office Space,4506.00,4506.00,0.00
Rent or Lease,Rent or Lease (general),7907.17,7907.17,0.00
Rent or Lease,Vehicles,564.34,564.34,0.00
Sales,Invoice,0.00,592506.24,-592506.24
Sales,Payment,373632.12,0.00,373632.12
Total Expenses,,209772.68,209772.68,0.00
Travel,Airfare,2609.93,2609.93,0.00
Travel,Hotel/Lodging/Accommodation,8758.48,8758.48,0.00
Travel,Taxi & Parking,7509.06,7509.06,0.00
Travel,Travel (general),2227.39,2227.39,0.00
Utilities,Phone,467.52,467.52,0.00
Utilities,Utilities (general),3050.00,3050.00,0.00
